file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\simple_language_plugin\src\main\java\org\intellij\sdk\language\SimpleColorSettingsPage.java,org.intellij.sdk.language.SimpleColorSettingsPage,getAdditionalHighlightingTagToDescriptorMap/0,FALSE,56,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\simple_language_plugin\src\main\java\org\intellij\sdk\language\SimpleColorSettingsPage.java,org.intellij.sdk.language.SimpleColorSettingsPage,getHighlighter/0,FALSE,33,3,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\simple_language_plugin\src\main\java\org\intellij\sdk\language\SimpleColorSettingsPage.java,org.intellij.sdk.language.SimpleColorSettingsPage,getColorDescriptors/0,FALSE,66,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\simple_language_plugin\src\main\java\org\intellij\sdk\language\SimpleColorSettingsPage.java,org.intellij.sdk.language.SimpleColorSettingsPage,getIcon/0,FALSE,27,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\simple_language_plugin\src\main\java\org\intellij\sdk\language\SimpleColorSettingsPage.java,org.intellij.sdk.language.SimpleColorSettingsPage,getDisplayName/0,FALSE,72,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\simple_language_plugin\src\main\java\org\intellij\sdk\language\SimpleColorSettingsPage.java,org.intellij.sdk.language.SimpleColorSettingsPage,getAttributeDescriptors/0,FALSE,61,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\project_view_pane\src\main\java\org\intellij\sdk\view\pane\ImagesProjectViewPane.java,org.intellij.sdk.view.pane.ImagesProjectViewPane,createTree/1[javax.swing.tree.DefaultTreeModel],FALSE,93,3,0,0,0,1,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,4,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\project_view_pane\src\main\java\org\intellij\sdk\view\pane\ImagesProjectViewPane.java,org.intellij.sdk.view.pane.ImagesProjectViewPane,getWeight/0,FALSE,48,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\project_view_pane\src\main\java\org\intellij\sdk\view\pane\ImagesProjectViewPane.java,org.intellij.sdk.view.pane.ImagesProjectViewPane,createSelectInTarget/0,FALSE,54,4,0,0,0,1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,1,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\project_view_pane\src\main\java\org\intellij\sdk\view\pane\ImagesProjectViewPane.java,org.intellij.sdk.view.pane.ImagesProjectViewPane,createBuilder/1[javax.swing.tree.DefaultTreeModel],FALSE,104,2,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\project_view_pane\src\main\java\org\intellij\sdk\view\pane\ImagesProjectViewPane.java,org.intellij.sdk.view.pane.ImagesProjectViewPane,getId/0,FALSE,43,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\project_view_pane\src\main\java\org\intellij\sdk\view\pane\ImagesProjectViewPane.java,org.intellij.sdk.view.pane.ImagesProjectViewPane,getIcon/0,FALSE,37,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\project_view_pane\src\main\java\org\intellij\sdk\view\pane\ImagesProjectViewPane.java,org.intellij.sdk.view.pane.ImagesProjectViewPane,ImagesProjectViewPane/1[org.intellij.sdk.view.pane.Project],TRUE,25,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\project_view_pane\src\main\java\org\intellij\sdk\view\pane\ImagesProjectViewPane.java,org.intellij.sdk.view.pane.ImagesProjectViewPane,createStructure/0,FALSE,76,4,0,0,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,4,0,FALSE
