file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\handlers\BaseDocumentLifeCycleHandler.java,org.eclipse.jdt.ls.core.internal.handlers.BaseDocumentLifeCycleHandler$PublishDiagnosticJob,innerclass,5,5,0,5,4,2,0,6,3,0,0,0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,18,2,0,1,0,0,1,1,3,2,3,1,0,0,0,30,18,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corrections\proposals\NewMethodCorrectionProposal.java,org.eclipse.jdt.ls.core.internal.corrections.proposals.NewMethodCorrectionProposal,class,27,29,2,27,55,6,0,51,64,0.9444444,0.035714287,0.035714287,12,0,1,4,7,0,8,0,0,0,3,2,0,3,0,0,2,0,1,179,14,2,15,0,0,6,11,56,2,36,5,0,0,0,86,1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\commands\ProjectCommand.java,org.eclipse.jdt.ls.core.internal.commands.ProjectCommand$ClasspathResult,innerclass,0,0,0,0,1,1,0,0,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,9,9,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\eclipse\hello\src\java\IFoo.java,java.IFoo,interface,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.tests.syntaxserver\projects\maven\salut4\src\main\java\pack\IFoo.java,pack.IFoo,interface,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\LanguageServerApplication.java,org.eclipse.jdt.ls.core.internal.LanguageServerApplication,class,8,15,7,8,18,1,0,26,31,0.78333336,0.14285715,0.14285715,10,1,8,2,0,0,8,0,0,0,6,0,0,6,0,0,1,0,13,103,5,1,3,3,0,10,1,17,3,17,3,0,0,0,63,1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\eclipse\hello\src\org\sample\Foo$Bar.java,org.sample.Foo$Bar,class,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\DiagnosticsState.java,org.eclipse.jdt.ls.core.internal.DiagnosticsState,class,2,6,4,2,9,1,0,4,0,0.4,0.5,0.6,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,21,2,0,2,0,0,0,0,3,0,2,0,0,1,0,31,1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\EventNotification.java,org.eclipse.jdt.ls.core.internal.EventNotification,class,4,9,5,4,7,1,0,1,9,0.5714286,0.2857143,0.2857143,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,0,0,0,27,5,0,0,0,0,2,0,4,0,2,0,0,0,0,14,1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\managers\GradleProjectImporter.java,org.eclipse.jdt.ls.core.internal.managers.GradleProjectImporter$GradleCompatibilityInfo,innerclass,0,0,0,0,1,1,0,0,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,4,0,0,0,0,11,2,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\TypeContextChecker.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.TypeContextChecker$MethodTypesChecker,innerclass,31,31,0,31,55,4,0,72,16,0.7,1,1,8,2,2,6,0,0,2,0,0,0,5,1,0,5,0,0,5,0,5,254,12,10,14,3,6,6,24,68,4,54,4,2,1,0,119,10,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\handlers\BaseDocumentLifeCycleHandler.java,org.eclipse.jdt.ls.core.internal.handlers.BaseDocumentLifeCycleHandler$Anonymous1,anonymous,3,3,0,3,3,1,0,5,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,14,2,0,1,0,0,0,1,3,2,3,1,0,0,0,22,-1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\maven\modular-project\src\main\java\modular\Main.java,modular.Main,class,0,0,0,0,1,1,0,0,0,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\managers\EclipseProjectImporter.java,org.eclipse.jdt.ls.core.internal.managers.EclipseProjectImporter,class,11,13,2,11,27,2,0,56,28,0,0,0,8,0,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,106,12,3,7,1,3,5,11,28,1,23,3,0,0,5,74,1,0
